"ATYA_ID","Title","Repository","PrimaryContractOwner","DownstreamRepositories","ChildMigrationRequirement","ChildMigrationTasks","Priority","Phase","Type","Status","Evidence_Status","Confidence","Risk","Effort","Dependencies","AdvisoryPrerequisites","Related_Tasks","Issue_File","Origin","Implementation_State"
"ATYA-019","ATYA-019 — Define one immutable workflow and action reference policy","Atya.Roadmap","Atya.Roadmap","platform;github-workflows;renovate-config;template repositories;managed fleet repositories","required-existing","ATYA-124;ATYA-026;ATYA-027;ATYA-028;ATYA-039","P1","2 — Security, compatibility, and release blockers","Verification","Blocked","Private maintainer evidence; public summary only","High","High","M","ATYA-001","","ATYA-124;ATYA-026;ATYA-028;ATYA-039","github/issues/ATYA-019-one-immutable-workflow-reference-policy-fix-the-drift-audit-validator.md","Private organization audit and approved roadmap","Implemented inconsistently"
"ATYA-020","ATYA-020 — Enforce release-path authorization controls (solo-adapted)","Atya.Roadmap","","","","","P1","2 — Security, compatibility, and release blockers","Implementation","Blocked","Private maintainer evidence; public summary only","High","High","L","ATYA-002","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-020-enforce-release-path-authorization-controls-solo-adapted.md","Private organization audit and approved roadmap","Partially satisfied"
"ATYA-021","ATYA-021 — Make BackgroundServices consume per-worker validated options","BackgroundServices","","","","","P1","2 — Security, compatibility, and release blockers","Implementation","Blocked","Contradicted between sources (SP-03; DIS-002) — verify first","High","High","M","ATYA-002;ATYA-006","","ATYA-014;ATYA-015;ATYA-016","github/issues/ATYA-021-make-backgroundservices-consume-per-worker-validated-options.md","Merged (S-0038 + S-0039)","No audit-driven completion claim"
"ATYA-022","ATYA-022 — Unify correlation: one owner, bounded policy, wired end-to-end","Atya.Roadmap","","","","","P1","2 — Security, compatibility, and release blockers","Implementation","Blocked","Strongly supported","High","High","L","ATYA-019;ATYA-034","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-022-unify-correlation-one-owner-bounded-policy-wired-end-to-end.md","Merged (F-0021 + F-0022 + S-0046)","No audit-driven completion claim"
"ATYA-023","ATYA-023 — Harden Http.Client protocol and payload handling","Client","","","","","P1","2 — Security, compatibility, and release blockers","Implementation","Blocked","Needs source inspection (SP-09; single-source with citations)","High","High","M","ATYA-002;ATYA-022;ATYA-009;ATYA-052","","ATYA-014;ATYA-015;ATYA-016","github/issues/ATYA-023-harden-http-client-protocol-and-payload-handling.md","GPT 5.6 SOL (S-0048)","No audit-driven completion claim"
"ATYA-024","ATYA-024 — Replace the PAT dispatch chain with a GitHub App","Atya.Roadmap","","","","","P0","2 — Security, compatibility, and release blockers","Migration","Blocked","Private maintainer evidence; public summary only","High","Critical","M","ATYA-016","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-024-replace-the-pat-dispatch-chain-with-a-github-app.md","Private organization audit and approved roadmap","No audit-driven completion claim"
"ATYA-025","ATYA-025 — CodeQuality overhaul: modern analyzers, async rules, packed verification, charter","CodeQuality","CodeQuality","Atya.Build.Sdk;managed SDK consumers;Atya.Templates.UiAutomation","required-existing","ATYA-030;ATYA-035;ATYA-077","P1","3 — Build, workflow, and release consolidation","Implementation","Blocked","Strongly supported (AD0001 suppression exists); Needs source inspection (SP-14 root-cause version)","High","High","L","ATYA-002","","ATYA-026;ATYA-027;ATYA-028","github/issues/ATYA-025-codequality-overhaul-modern-analyzers-async-rules-packed-verification.md","Merged (F-0008 + S-0031)","No audit-driven completion claim"
"ATYA-026","ATYA-026 — Roll pinned workflows and security baselines across the fleet","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Implementation","Blocked","Private maintainer evidence; public summary only","High","High","L","ATYA-019;ATYA-001;ATYA-124;ATYA-036","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-026-roll-pinned-workflows-and-security-baselines-across-the-fleet.md","Private organization audit and approved roadmap","Implemented inconsistently"
"ATYA-027","ATYA-027 — Add self-tests for reusable workflows and composite actions","github-workflows","","","","","P1","3 — Build, workflow, and release consolidation","Documentation","Blocked","Reasonable inference (single-source)","High","High","M","ATYA-019","","ATYA-025;ATYA-026;ATYA-028","github/issues/ATYA-027-add-self-tests-for-reusable-workflows-and-composite-actions.md","GPT 5.6 SOL (S-0011)","No audit-driven completion claim"
"ATYA-028","ATYA-028 — Test and harden the Renovate preset; verify fleet realization","renovate-config","renovate-config","managed fleet repositories","required-on-confirmed-gap","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Verified inconsistent Renovate realization; eight template PRs require disposition","High","High","M","ATYA-002;ATYA-019","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-028-test-and-harden-the-renovate-preset-verify-fleet-realization.md","GPT 5.6 SOL (S-0010)","Implemented inconsistently"
"ATYA-029","ATYA-029 — Restore release-notes/tag/NuGet/API-baseline traceability","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Implementation","Blocked","Reasonable inference (single-source, specific)","High","High","L","ATYA-003;ATYA-018","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-029-restore-release-notes-tag-nuget-api-baseline-traceability.md","GPT 5.6 SOL (S-0013)","No audit-driven completion claim"
"ATYA-030","ATYA-030 — Build Atya.Build.Sdk conformance fixtures (archetype-aware)","Atya.Build.Sdk","","","","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Reasonable inference (single-source)","High","High","S","ATYA-027;ATYA-005;ATYA-025","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-030-build-atya-build-sdk-conformance-fixtures-archetype-aware.md","GPT 5.6 SOL (S-0015)","No audit-driven completion claim"
"ATYA-031","ATYA-031 — Recover Build.Sdk publishing and bring its release metadata into policy","Atya.Build.Sdk","","","","","P0","2 — Security, compatibility, and release blockers","Implementation","Blocked","Private maintainer evidence; public summary only","High","Critical","M","ATYA-020;ATYA-121","","ATYA-121;ATYA-030;ATYA-036","github/issues/ATYA-031-bring-build-sdk-s-own-publishing-and-metadata-into-policy.md","Private organization audit and approved roadmap","Partially satisfied"
"ATYA-032","ATYA-032 — Define and verify dependency-range and packed-nuspec policy","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Needs source inspection (SP-15)","High","High","M","ATYA-002;ATYA-030;ATYA-005","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-032-define-and-verify-dependency-range-and-packed-nuspec-policy.md","GPT 5.6 SOL (S-0016)","No audit-driven completion claim"
"ATYA-033","ATYA-033 — Standardize review-time PublicAPI governance","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Reasonable inference (single-source)","High","High","S","ATYA-030","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-033-standardize-review-time-publicapi-governance.md","GPT 5.6 SOL (S-0017)","No audit-driven completion claim"
"ATYA-034","ATYA-034 — Repair dependency-matrix ↔ csproj drift and machine-check it","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Strongly supported (unused Messaging edge, both models); Reasonable inference (Primitives matrix row; Middleware redundant edge)","High","High","S","ATYA-001;ATYA-008","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-034-repair-dependency-matrix-csproj-drift-and-machine-check-it.md","Merged (F-0007 + S-0032 (edge-removal clause))","No audit-driven completion claim"
"ATYA-035","ATYA-035 — Build the fleet SDK-pin roll mechanism","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Strongly supported (the rollout pain is documented by both in different forms)","High","High","M","ATYA-003;ATYA-025;ATYA-030","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-035-build-the-fleet-sdk-pin-roll-mechanism.md","Fable (F-0009)","No audit-driven completion claim"
"ATYA-036","ATYA-036 — Fix build-pack-nuget for root-csproj template packs","github-workflows","github-workflows","publisher;Atya.Templates.UiAutomation;Atya.Templates.NuGetPackage;Atya.Build.Sdk","required-existing","ATYA-026;ATYA-031;ATYA-076;ATYA-077","P1","3 — Build, workflow, and release consolidation","Implementation","Blocked","Reasonable inference (single-source, concrete failure already worked around)","High","High","M","ATYA-027","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-036-fix-build-pack-nuget-for-root-csproj-template-packs.md","Fable (F-0003)","No audit-driven completion claim"
"ATYA-037","ATYA-037 — Reusable CI: multi-test-project support, NuGet cache, drop legacy input","github-workflows","","","","","P2","3 — Build, workflow, and release consolidation","Implementation","Blocked","Reasonable inference (single-source)","High","Medium","M","ATYA-026;ATYA-027","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-037-reusable-ci-multi-test-project-support-nuget-cache-drop-legacy-input.md","Fable (F-0010)","No audit-driven completion claim"
"ATYA-038","ATYA-038 — Repair the CLI: archetype-aware scanning, real coverage, fail-safe checks; release","Cli","","","","","P1","3 — Build, workflow, and release consolidation","Implementation","Blocked","Verified archive-path-induced failures exposing real checkout-directory identity coupling","High","High","M","ATYA-001;ATYA-002","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-038-repair-the-cli-archetype-aware-scanning-real-coverage-fail-safe-checks.md","Merged (S-0018 + S-0019 + F-0035 (repair/release half))","Partially satisfied"
"ATYA-039","ATYA-039 — Replace platform drift JavaScript with CLI fleet audits","Atya.Roadmap","","","","","P1","3 — Build, workflow, and release consolidation","Verification","Blocked","Reasonable inference (single-source drift-logic critique) + Strongly supported destination (CC-21)","High","High","M","ATYA-038;ATYA-019;ATYA-001;ATYA-124","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-039-replace-platform-drift-javascript-with-cli-fleet-audits.md","Merged (S-0020 + F-0035 (drift-checks half))","No audit-driven completion claim"
"ATYA-040","ATYA-040 — Make the public site truthful, reproducible, and auto-deployed","AtyaLibraries.github.io","AtyaLibraries.github.io","publisher","required-existing","ATYA-024;ATYA-126","P1","3 — Build, workflow, and release consolidation","Documentation","Blocked","Partially implemented; broader site modernization waits for focused Vite remediation","High","High","M","ATYA-001;ATYA-024;ATYA-019;ATYA-126","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-040-make-the-public-site-truthful-reproducible-and-auto-deployed.md","Merged (F-0032 + S-0021)","Partially satisfied"
"ATYA-041","ATYA-041 — Add site schema, component, accessibility, and link tests","AtyaLibraries.github.io","","","","","P2","3 — Build, workflow, and release consolidation","Verification","Blocked","Reasonable inference (single-source)","High","Medium","S","ATYA-040","","ATYA-025;ATYA-026;ATYA-027","github/issues/ATYA-041-add-site-schema-component-accessibility-and-link-tests.md","GPT 5.6 SOL (S-0022)","No audit-driven completion claim"
"ATYA-042","ATYA-042 — Make Foundation.Results deeply immutable and nullability-honest","Results","","","","","P1","1 — Source-of-truth policy and architecture decisions","Implementation","Ready","Needs source inspection (single-source, specific)","High","High","M","","","ATYA-005;ATYA-006;ATYA-007","github/issues/ATYA-042-make-foundation-results-deeply-immutable-and-nullability-honest.md","GPT 5.6 SOL (S-0025)","No audit-driven completion claim"
"ATYA-043","ATYA-043 — Add async Result combinators","Results","","","","","P1","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Verified gap (surface absence is checkable from both docs' descriptions)","High","High","M","ATYA-042","","ATYA-042;ATYA-044;ATYA-045","github/issues/ATYA-043-add-async-result-combinators.md","Fable (F-0013); resequenced per [Review DIS-007]","No audit-driven completion claim"
"ATYA-044","ATYA-044 — Define the Result serialization stance","Results","Results","Serialization","required-existing","ATYA-048","P2","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Reasonable inference (mechanically certain if getters throw as described)","High","Medium","M","ATYA-042;ATYA-009","","ATYA-042;ATYA-043;ATYA-045","github/issues/ATYA-044-define-the-result-serialization-stance.md","Fable (F-0014)","No audit-driven completion claim"
"ATYA-045","ATYA-045 — Add transport-relevant ErrorKinds (Unavailable, Timeout, TooManyRequests)","Results","Results","ProblemDetails;Client","required-existing","ATYA-053;ATYA-056","P2","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Reasonable inference","High","Medium","M","ATYA-009","","ATYA-053;ATYA-056;ATYA-023","github/issues/ATYA-045-add-transport-relevant-errorkinds-unavailable-timeout-toomanyrequests.md","Fable (F-0015)","No audit-driven completion claim"
"ATYA-046","ATYA-046 — Harden Primitives invariants and StronglyTypedId serialization","Primitives","Primitives","Serialization","required-existing","ATYA-048","P1","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Needs source inspection (invariant bypass, single-source); Reasonable inference (STID serialization)","High","High","M","ATYA-008","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-046-harden-primitives-invariants-and-stronglytypedid-serialization.md","Merged (S-0026 (invariant half) + F-0019)","No audit-driven completion claim"
"ATYA-047","ATYA-047 — Resolve the JsonSerializerDefaults BCL name collision","Serialization","","","","","P1","4 — Foundation and cross-cutting contracts","Implementation","Ready","Reasonable inference (single-source, mechanical)","High","High","L","","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-047-resolve-the-jsonserializerdefaults-bcl-name-collision.md","Fable (F-0017)","No audit-driven completion claim"
"ATYA-048","ATYA-048 — Add a source-generation and AOT-safe serialization path","Serialization","","","","","P2","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Strongly supported (gap noted by both; specifics are GPT's)","High","High","M","ATYA-047;ATYA-005;ATYA-044;ATYA-046","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-048-add-a-source-generation-and-aot-safe-serialization-path.md","GPT 5.6 SOL (S-0029)","No audit-driven completion claim"
"ATYA-049","ATYA-049 — Make enumerable guards non-destructive","Guards","","","","","P1","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Needs source inspection (SP-10; mechanically certain if code reads as cited)","High","High","M","ATYA-002","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-049-make-enumerable-guards-non-destructive.md","GPT 5.6 SOL (S-0027)","No audit-driven completion claim"
"ATYA-050","ATYA-050 — Complete Guards numeric coverage via generic math","Guards","","","","","P2","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Reasonable inference","High","Medium","M","ATYA-049","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-050-complete-guards-numeric-coverage-via-generic-math.md","Fable (F-0018); sequenced after ECO-049 per [Review DIS-008]","No audit-driven completion claim"
"ATYA-051","ATYA-051 — Make Governance.Testing fakes implement real contracts","Testing","Testing","Idempotency","required-existing","ATYA-057","P1","4 — Foundation and cross-cutting contracts","Verification","Blocked","Strongly supported","High","High","M","ATYA-006;ATYA-008;ATYA-022","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-051-make-governance-testing-fakes-implement-real-contracts.md","Merged (F-0020 + S-0030)","No audit-driven completion claim"
"ATYA-052","ATYA-052 — Migrate Validation, ProblemDetails, and Client to the one validation schema","Atya.Roadmap","","","","","P1","4 — Foundation and cross-cutting contracts","Migration","Blocked","Needs source inspection (single-source shape-divergence specifics)","High","High","M","ATYA-009;ATYA-014","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-052-migrate-validation-problemdetails-and-client-to-the-one-validation-sch.md","GPT 5.6 SOL (S-0041)","No audit-driven completion claim"
"ATYA-053","ATYA-053 — ProblemDetails: symmetric customization, deterministic mapping, ConfigureAwait fix","ProblemDetails","","","","","P1","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Strongly supported (customization asymmetry, CC-40); Reasonable inference (determinism specifics); Verified-by-both (the ConfigureAwait miss is Fable's find, CA2007 enforcement is ECO-025's)","High","High","L","ATYA-009;ATYA-014;ATYA-045","","ATYA-014;ATYA-043;ATYA-044","github/issues/ATYA-053-problemdetails-symmetric-customization-deterministic-mapping-configure.md","Merged (F-0023 + S-0044)","No audit-driven completion claim"
"ATYA-054","ATYA-054 — Exceptions: default error codes, validated items, metadata policy","Exceptions","","","","","P2","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Reasonable inference (both halves single-source, mechanical)","High","Medium","M","ATYA-052;ATYA-026","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-054-exceptions-default-error-codes-validated-items-metadata-policy.md","Merged (F-0031 + S-0045)","No audit-driven completion claim"
"ATYA-055","ATYA-055 — Middleware: preserve mapped shapes, success policy, idempotent registration","Middleware","","","","","P1","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Needs source inspection (SP-08)","High","High","M","ATYA-002;ATYA-053;ATYA-034","","ATYA-043;ATYA-044;ATYA-045","github/issues/ATYA-055-middleware-preserve-mapped-shapes-success-policy-idempotent-registrati.md","GPT 5.6 SOL (S-0047)","No audit-driven completion claim"
"ATYA-056","ATYA-056 — Http.Client ergonomics: verb conveniences, propagation, ErrorKind map","Client","","","","","P2","4 — Foundation and cross-cutting contracts","Implementation","Blocked","Verified gap (two-method surface described by both)","High","Medium","M","ATYA-023;ATYA-022;ATYA-045","","ATYA-023;ATYA-043;ATYA-044","github/issues/ATYA-056-http-client-ergonomics-verb-conveniences-propagation-errorkind-map.md","Fable (F-0029)","No audit-driven completion claim"
"ATYA-057","ATYA-057 — Idempotency: fenced leases, abandon-on-exception, completion policy, bounded store","Idempotency","","","","","P1","5 — Messaging, data, web, and diagnostics hardening","Implementation","Blocked","Strongly supported (failure/TTL semantics defective — CC-15); Needs source inspection (fencing race, cancellation finalization)","High","High","L","ATYA-006;ATYA-122;ATYA-051","","ATYA-122;ATYA-051;ATYA-058;ATYA-061","github/issues/ATYA-057-idempotency-fenced-leases-abandon-on-exception-completion-policy-bound.md","Merged (F-0026 + S-0034 + S-0035)","No audit-driven completion claim"
"ATYA-058","ATYA-058 — Outbox: atomic claiming, stable identity, backoff, diagnostics, hosting recipe","Messaging.Outbox","","","","","P1","5 — Messaging, data, web, and diagnostics hardening","Implementation","Blocked","Strongly supported (backoff/diagnostics gaps); Needs source inspection (claiming race, AQN identity)","High","High","L","ATYA-059;ATYA-057;ATYA-006","","ATYA-057;ATYA-059;ATYA-060","github/issues/ATYA-058-outbox-atomic-claiming-stable-identity-backoff-diagnostics-hosting-rec.md","Merged (F-0027 + S-0036 + S-0037)","No audit-driven completion claim"
"ATYA-059","ATYA-059 — Evolve Messaging.Abstractions for stable, durable contracts","Messaging.Abstractions","","","","","P1","5 — Messaging, data, web, and diagnostics hardening","Implementation","Blocked","Strongly supported (semantics unspecified, unused edge); Reasonable inference (identity/disposal specifics)","High","High","M","ATYA-004;ATYA-033","","ATYA-057;ATYA-058;ATYA-060","github/issues/ATYA-059-evolve-messaging-abstractions-for-stable-durable-contracts.md","Merged (S-0032 + F-0028 (semantics half))","No audit-driven completion claim"
"ATYA-060","ATYA-060 — Define Messaging.InMemory semantics and bound its history","Messaging.InMemory","","","","","P2","5 — Messaging, data, web, and diagnostics hardening","Implementation","Blocked","Strongly supported (unbounded history, fail-fast dispatch); Needs source inspection (records-before-completion)","High","Medium","M","ATYA-059","","ATYA-057;ATYA-058;ATYA-059","github/issues/ATYA-060-define-messaging-inmemory-semantics-and-bound-its-history.md","Merged (F-0028 (InMemory half) + S-0052)","No audit-driven completion claim"
"ATYA-061","ATYA-061 — Deepen Outbox/Messaging/Idempotency scenario tests","Atya.Roadmap","","","","","P2","5 — Messaging, data, web, and diagnostics hardening","Verification","Blocked","Strongly supported (pattern; Fable's 272-vs-620 line datum)","High","Medium","M","ATYA-057;ATYA-058","","ATYA-001;ATYA-002;ATYA-003","github/issues/ATYA-061-deepen-outbox-messaging-idempotency-scenario-tests.md","Fable (F-0042)","No audit-driven completion claim"
"ATYA-062","ATYA-062 — Fix Mediator generator discovery, lifetimes, and packed-analyzer verification","Mediator","","","","","P1","5 — Messaging, data, web, and diagnostics hardening","Implementation","Blocked","Needs source inspection (SP-04)","High","High","L","ATYA-002;ATYA-033","","ATYA-057;ATYA-058;ATYA-059","github/issues/ATYA-062-fix-mediator-generator-discovery-lifetimes-and-packed-analyzer-verific.md","Merged (S-0049 + S-0050)","No audit-driven completion claim"
